first_name,last_name,LinkedIn,Meetup
Aharon,Twizer,https://www.linkedin.com/in/aharont/,https://www.meetup.com/AWS-IL/events/242027525/
Amir ,Ben Ari,https://www.linkedin.com/in/amir-ben-ari-81086328/,https://www.meetup.com/AWS-IL/events/237371764/
Andrei,Burd,https://www.linkedin.com/in/burdandrei/,https://www.meetup.com/AWS-IL/events/249158841/
Asher,Sterkin,https://www.linkedin.com/in/asher-sterkin-10a1063/,https://www.meetup.com/AWS-IL/events/245984469/
Boaz,Ziniman,https://www.linkedin.com/in/bziniman/,https://www.meetup.com/AWS-IL/events/242027540/
Danny,Tzidony,https://www.linkedin.com/in/danny-tzidony-3928a618/,https://www.meetup.com/AWS-IL/events/238852751/
Dave,Walker,https://www.linkedin.com/in/dave-walker-5b4194/,https://www.meetup.com/AWS-IL/events/236434341/
David,Melamed,https://www.linkedin.com/in/david-melamed-50610214/,https://www.meetup.com/AWS-IL/events/237310611/
Effie,Arditi,https://www.linkedin.com/in/ferdt/,https://www.meetup.com/AWS-IL/events/238852751/
Eitan,Sela,https://www.linkedin.com/in/eitan-sela-6144033/,https://www.meetup.com/AWS-IL/events/242531729/
Emmanuel,Merali,https://www.linkedin.com/in/emmanuelmerali/,https://www.meetup.com/AWS-IL/events/237310611/
Eran,Bibi,https://www.linkedin.com/in/eran-bibi-9865784b/,https://www.meetup.com/AWS-IL/events/242030077/
Eyal,Gruss,https://www.linkedin.com/in/eyalgruss/,https://www.meetup.com/AWS-IL/events/242531729/
Gadi,Naor,https://www.linkedin.com/in/gadinaor/,https://www.meetup.com/AWS-IL/events/242027525/
Guy,Salton,https://www.linkedin.com/in/guy-salton-a71085131/,https://www.meetup.com/AWS-IL/events/245697337/
Ippokratis,Pandis,https://www.linkedin.com/in/ippokratis-pandis-03b1402/,https://www.meetup.com/AWS-IL/events/241931017/
Itai,Blitzer,https://www.linkedin.com/in/itaiblitzer/,https://www.meetup.com/AWS-IL/events/241931017/
Itamar,Haber,https://www.linkedin.com/in/itamarhaber/,https://www.meetup.com/AWS-IL/events/242169986/
Leonid,Belkind,https://www.linkedin.com/in/leonidbelkind/,https://www.meetup.com/AWS-IL/events/249316638/
Liel,Ran,https://www.linkedin.com/in/lielran/,https://www.meetup.com/AWS-IL/events/237310611/
Lior,Regev,https://www.linkedin.com/in/lior-regev-22a256a2/,https://www.meetup.com/AWS-IL/events/241327181/
Lior,Neudorfer,https://www.linkedin.com/in/liorus/,https://www.meetup.com/AWS-IL/events/242030077/
Maor,Kleider,https://www.linkedin.com/in/maorkleider/,https://www.meetup.com/AWS-IL/events/241931017/
Michael,Labib,https://www.linkedin.com/in/michael-labib/,https://www.meetup.com/AWS-IL/events/242169986/
Moshe ,Ben Shoham,https://www.linkedin.com/in/moshebenshoham/,https://www.meetup.com/AWS-IL/events/245697337/
Niv,Yungelson,https://www.linkedin.com/in/nivyungelson/,https://www.meetup.com/AWS-IL/events/249316638/
Oleg,Verhovsky,https://www.linkedin.com/in/olegverhovsky/,https://www.meetup.com/AWS-IL/events/242027525/
Omri,Geller,https://www.linkedin.com/in/omri-geller-47407a155/,https://www.meetup.com/AWS-IL/events/246060884/
Ran,Kremer,https://www.linkedin.com/in/ran-kremer-88816377/,https://www.meetup.com/AWS-IL/events/237371764/
Ron,Netzerel,https://www.linkedin.com/in/ronnetzerelprofile/,https://www.meetup.com/AWS-IL/events/242027540/
Rory,Richardson,https://www.linkedin.com/in/roryr/,https://www.meetup.com/AWS-IL/events/242870431/
Rotem,Tamir,https://www.linkedin.com/in/rotem-tamir-79538130/,https://www.meetup.com/AWS-IL/events/237310611/
Shaked,Zin,https://www.linkedin.com/in/shakedz/,https://www.meetup.com/AWS-IL/events/240521509/
Shay,Lichtin,https://www.linkedin.com/in/shay-lichtin-7a80a62a/,https://www.meetup.com/AWS-IL/events/240521509/
Shimon,Tolts,https://www.linkedin.com/in/tolts/,https://www.meetup.com/AWS-IL/events/245984469/
Shlomi,Avivi,https://www.linkedin.com/in/shlomi-avivi-8752811/,https://www.meetup.com/AWS-IL/events/236434341/
Stan,Hutten Czapski,https://www.linkedin.com/in/shutten/,https://www.meetup.com/AWS-IL/events/242870431/
Vadim,Solovey,https://www.linkedin.com/in/vadimska/,https://www.meetup.com/AWS-IL/events/249158841/
Yaniv,Donenfeld,https://www.linkedin.com/in/yaniv-donenfeld-1a40424/,https://www.meetup.com/AWS-IL/events/241327181/
Yoni,Iny,https://www.linkedin.com/in/yoni-iny-7496173/,https://www.meetup.com/AWS-IL/events/237371764/
